canonical_drug_id,drug_name,assay,match_type,similarity,predicted_label
1191,Bortezomib,ames,no_match,0.40298507462686567,0
1191,Bortezomib,bbb_martins,no_match,0.3090909090909091,0
1191,Bortezomib,bioavailability_ma,no_match,0.31343283582089554,1
1191,Bortezomib,caco2_wang,no_match,0.4426229508196721,-5
1191,Bortezomib,clearance_hepatocyte_az,no_match,0.3835616438356164,74
1191,Bortezomib,clearance_microsome_az,no_match,0.3835616438356164,31
1191,Bortezomib,cyp2c9_substrate_carbonmangels,exact,1.0,1
1191,Bortezomib,cyp2c9_veith,no_match,0.41935483870967744,0
1191,Bortezomib,cyp2d6_substrate_carbonmangels,exact,1.0,1
1191,Bortezomib,cyp2d6_veith,no_match,0.41935483870967744,0
1191,Bortezomib,cyp3a4_substrate_carbonmangels,exact,1.0,1
1191,Bortezomib,cyp3a4_veith,no_match,0.41935483870967744,0
1191,Bortezomib,dili,exact,1.0,1
1191,Bortezomib,half_life_obach,exact,1.0,18
1191,Bortezomib,herg,no_match,0.3,1
1191,Bortezomib,hia_hou,no_match,0.31343283582089554,1
1191,Bortezomib,ld50_zhu,no_match,0.3090909090909091,2
1191,Bortezomib,lipophilicity_astrazeneca,no_match,0.31746031746031744,-1
1191,Bortezomib,pgp_broccatelli,no_match,0.2909090909090909,0
1191,Bortezomib,ppbr_az,exact,1.0,86
1191,Bortezomib,solubility_aqsoldb,no_match,0.3508771929824561,-1
1191,Bortezomib,vdss_lombardo,exact,1.0,10
1911,Dactinomycin,ames,no_match,0.19327731092436976,0
1911,Dactinomycin,bbb_martins,exact,1.0,0
1911,Dactinomycin,bioavailability_ma,no_match,0.1891891891891892,0
1911,Dactinomycin,caco2_wang,no_match,0.2457627118644068,-5
1911,Dactinomycin,clearance_hepatocyte_az,no_match,0.2037037037037037,144
1911,Dactinomycin,clearance_microsome_az,no_match,0.2037037037037037,30
1911,Dactinomycin,cyp2c9_substrate_carbonmangels,no_match,0.2948717948717949,0
1911,Dactinomycin,cyp2c9_veith,exact,1.0,0
1911,Dactinomycin,cyp2d6_substrate_carbonmangels,no_match,0.2948717948717949,0
1911,Dactinomycin,cyp2d6_veith,exact,1.0,0
1911,Dactinomycin,cyp3a4_substrate_carbonmangels,no_match,0.2948717948717949,0
1911,Dactinomycin,cyp3a4_veith,no_match,0.23308270676691728,1
1911,Dactinomycin,dili,exact,1.0,1
