canonical_drug_id,drug_name,canonical_smiles,target_genes,PATHWAY_NAME_NORMALIZED,classification,ensemble_score,target_expressed,admet_coverage,admet_no_match_assays,toxicity_flags,admet_category
1372,Trametinib,CC(=O)Nc1cccc(-n2c(=O)n(C3CC3)c(=O)c3c(Nc4ccc(I)cc4F)n(C)c(=O)c(C)c32)c1,MAP2K1;MAP2K2,ERK MAPK signaling,approved,0.4799599703401327,True,0.09090909090909091,20,,Candidate
1034,Staurosporine,CN[C@@H]1C[C@H]2O[C@@](C)([C@@H]1OC)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)NC4,CDK2;CHRM1;CSK;GSK3B;IKBKB;ITK;LCK;MAPKAPK2;PDPK1;PIK3CG;PIM1;PRKCA;PRKCQ;SYK;ZAP70,RTK signaling,screened_candidate,2.739223465323448,False,0.045454545454545456,21,ames;dili;herg,Caution
1060,PD0325901,O=C(NOC[C@H](O)CO)c1ccc(F)c(F)c1Nc1ccc(I)cc1F,MAP2K1;MAP2K2,ERK MAPK signaling,screened_candidate,-0.7096683268900961,True,0.0,22,ames;dili,Caution
1014,Refametinib,COc1cc(F)c(F)c(Nc2ccc(I)cc2F)c1NS(=O)(=O)C1(C[C@H](O)CO)CC1,MAP2K1;MAP2K2,ERK MAPK signaling,screened_candidate,-1.8724587997421622,True,0.0,22,ames;herg,Caution
1908,Ulixertinib,CC(C)Nc1cc(-c2c[nH]c(C(=O)N[C@H](CO)c3cccc(Cl)c3)c2)c(Cl)cn1,EPHB2;MAPK1;MAPK3,ERK MAPK signaling,indication_expansion,-2.1544026024639606,True,0.0,22,,Candidate
1564,SCH772984,O=C(Nc1ccc2[nH]nc(-c3ccncc3)c2c1)C1CCN(CC(=O)N2CCN(c3ccc(-c4ncccn4)cc3)CC2)C1,MAPK1;MAPK3,ERK MAPK signaling,screened_candidate,-2.5917029306292534,True,0.0,22,dili;herg,Caution
1736,Selumetinib,Cn1cnc2c(F)c(Nc3ccc(Br)cc3Cl)c(C(=O)NOCCO)cc21,MAP2K1;MAP2K2,ERK MAPK signaling,indication_expansion,-2.717894231279691,True,0.0,22,dili;herg,Caution
1079,Dasatinib,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,ABL;ABL1;ABL2;BCR;BTK;CSK;EPHA2;EPHA5;EPHB4;EPHRINS;FGR;FRK;FYN;HSPA8;KIT;LCK;LYN;MAP3K20;MAPK14;NR4A3;PDGFR;PDGFRB;PPAT;SRC;STAT5B;YES1,Other kinases,indication_expansion,-1.0116481366567314,True,0.13636363636363635,19,dili;herg,Caution
1373,Dabrafenib,CC(C)(C)c1nc(-c2cccc(NS(=O)(=O)c3c(F)cccc3F)c2F)c(-c2ccnc(N)n2)s1,BRAF;LIMK1;NEK11;RAF1;SIK1,ERK MAPK signaling,approved,-2.9742196947336197,False,0.0,22,dili,Caution
1037,BX795,O=C(NCCCNc1nc(Nc2cccc(NC(=O)N3CCCC3)c2)ncc1I)c1cccs1,AURKB;AURKC;IKK;TBK1,Other kinases,screened_candidate,-1.470781683921814,False,0.045454545454545456,21,dili;herg,Caution
1441,AZD2014,CNC(=O)c1cccc(-c2ccc3c(N4CCOCC4C)nc(N4CCOCC4C)nc3n2)c1,MTOR,PI3K/MTOR signaling,screened_candidate,-2.5965310434500375,True,0.09090909090909091,20,dili;herg,Caution
2096,VX-11e,Cc1cnc(Nc2ccc(F)cc2Cl)nc1-c1c[nH]c(C(=O)NC(CO)c2cccc(Cl)c2)c1,MAPK1,ERK MAPK signaling,screened_candidate,-2.7656555573145547,True,0.09090909090909091,20,ames;dili;herg,Caution
1922,Cediranib,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1,FLT1;FLT2;FLT3;FLT4;KDR;KIT;PDGFRB,RTK signaling,indication_expansion,-2.609502963721752,True,0.0,22,dili;herg,Caution
1825,Podophyllotoxin bromide,COc1cc(C2c3cc4c(cc3C(Br)C3COC(=O)C23)OCO4)cc(OC)c1OC,,Unclassified,screened_candidate,-0.40230650703112286,False,0.13636363636363635,19,dili,Caution
1594,OSI-027,COc1cccc2cc(-c3nc([C@H]4CC[C@H](C(=O)O)CC4)n4ncnc(N)c34)[nH]c12,MTOR,PI3K/MTOR signaling,screened_candidate,-2.5971290320158005,True,0.0,22,ames;herg,Caution
