canonical_drug_id,drug_name,target_genes,pathway,candidate_source,candidate_source_id,candidate_name,candidate_has_smiles,candidate_canonical_smiles,candidate_inchikey
1428,IAP_5620,IAP,Other,no_local_name_match,,,False,,
1584,BDOCA000347a,BRPF1;BRPF2;BRPF3,Chromatin histone acetylation,no_local_name_match,,,False,,
1585,BDF00022089a,BRPF1;BRPF2;BRPF3,Chromatin histone acetylation,no_local_name_match,,,False,,
1586,BDILV000379a,BAZ2A;BAZ2B,Chromatin histone acetylation,no_local_name_match,,,False,,
1635,Picolinici-acid,,Other,no_local_name_match,,,False,,
1708,CDK9_5576,CDK9,Cell cycle,no_local_name_match,,,False,,
1709,CDK9_5038,CDK9,Cell cycle,no_local_name_match,,,False,,
1712,Eg5_9814,KSP11,Other,no_local_name_match,,,False,,
1713,ERK_2440,MAPK1;MAPK3,ERK MAPK signaling,no_local_name_match,,,False,,
1714,ERK_6604,MAPK1;MAPK3,ERK MAPK signaling,no_local_name_match,,,False,,
1716,IRAK4_4710,IRAK4,Other kinases,no_local_name_match,,,False,,
1718,JAK1_8709,JAK1,Other kinases,no_local_name_match,,,False,,
1730,PAK_5339,PAK1;PAK2,Cytoskeleton,no_local_name_match,,,False,,
1732,TAF1_5496,TAF1,Other,no_local_name_match,,,False,,
1733,ULK1_4989,ULK1,Other kinases,no_local_name_match,,,False,,
1734,VSP34_8731,VSP34,Other,no_local_name_match,,,False,,
1738,IGF1R_3801,IGFR1,IGF1R signaling,no_local_name_match,,,False,,
1739,JAK_8517,JAK1;JAK2,Other kinases,no_local_name_match,,,False,,
1776,GSK2256098C,FAK1,Cytoskeleton,no_local_name_match,,,False,,
1777,GSK2276186C,JAK1;JAK2;JAK3,Other kinases,no_local_name_match,,,False,,
1779,GSK626616AC,DYRK1A,Other kinases,no_local_name_match,,,False,,
1780,GSK3337463A,NIK,Other kinases,no_local_name_match,,,False,,
1782,GSK2830371A,PPM1D,Other,no_local_name_match,,,False,,
1783,LMB_AB1,ADRA1A;ADRB1,Other,no_local_name_match,,,False,,
1784,LMB_AB2,GADD34,Unclassified,no_local_name_match,,,False,,
1785,LMB_AB3,PPP1R15B,Other,no_local_name_match,,,False,,
1820,123829,,Unclassified,no_local_name_match,,,False,,
1821,765771,,Unclassified,no_local_name_match,,,False,,
1824,123138,,Unclassified,no_local_name_match,,,False,,
1826,50869,,Unclassified,no_local_name_match,,,False,,
1828,720427,,Unclassified,no_local_name_match,,,False,,
1829,667880,,Unclassified,no_local_name_match,,,False,,
1832,729189,,Unclassified,no_local_name_match,,,False,,
1833,741909,,Unclassified,no_local_name_match,,,False,,
1834,743380,,Unclassified,no_local_name_match,,,False,,
1836,150412,,Unclassified,no_local_name_match,,,False,,
1839,615590,,Unclassified,no_local_name_match,,,False,,
1840,630600,,Unclassified,no_local_name_match,,,False,,
1844,776928,,Unclassified,no_local_name_match,,,False,,
1855,KRAS (G12C) Inhibitor-12,,ERK MAPK signaling,no_local_name_match,,,False,,
1866,BDP-00009066,,Cytoskeleton,no_local_name_match,,,False,,
1998,BPD-00008900,,Other,no_local_name_match,,,False,,
1999,N25720-51-A1,,Unclassified,no_local_name_match,,,False,,
2000,N27922-53-1,,Unclassified,no_local_name_match,,,False,,
2002,N30652-18-1,,Unclassified,no_local_name_match,,,False,,
2003,N29087-69-1,,Unclassified,no_local_name_match,,,False,,
2112,VTP-A,,Unclassified,no_local_name_match,,,False,,
2113,VTP-B,,Unclassified,no_local_name_match,,,False,,
2145,PBD-288,,Unclassified,no_local_name_match,,,False,,
2149,CT7033-2,KDM3A;KDM4A;KDM4C;KDM4E;KDM6B,Chromatin histone methylation,no_local_name_match,,,False,,
2361,THR-102,,PI3K/MTOR signaling,no_local_name_match,,,False,,
2362,THR-103,,PI3K/MTOR signaling,no_local_name_match,,,False,,
