model_a,model_b,prediction_pearson_corr,prediction_spearman_corr,residual_pearson_corr,mean_abs_prediction_gap
LightGBM,XGBoost,0.9888635873794556,0.9838147188748235,0.9365677833557129,0.32343789935112
LightGBM,RandomForest,0.9890313148498535,0.9849514338373984,0.9452410340309143,0.28123438358306885
LightGBM,LightGBM_DART,0.9878641963005066,0.9817201919083473,0.8535254597663879,0.7830802798271179
LightGBM,ExtraTrees,0.978729248046875,0.9691821075058977,0.8997340798377991,0.3617967963218689
LightGBM,FlatMLP,0.9264819025993347,0.9062422257637865,0.7293027639389038,0.7365103363990784
XGBoost,RandomForest,0.9848713278770447,0.9783504103133263,0.9295073747634888,0.3365632891654968
XGBoost,LightGBM_DART,0.9876219034194946,0.9819986287645945,0.9138797521591187,0.7037912607192993
XGBoost,ExtraTrees,0.9731989502906799,0.9610375310705873,0.8723210096359253,0.43800491094589233
XGBoost,FlatMLP,0.9316705465316772,0.9153194464814604,0.7685415148735046,0.6984299421310425
RandomForest,LightGBM_DART,0.9862703680992126,0.9791420041855688,0.8740368485450745,0.7445096969604492
RandomForest,ExtraTrees,0.9884335994720459,0.9847596673366422,0.9461846351623535,0.2513510584831238
RandomForest,FlatMLP,0.9196439385414124,0.9040983596201693,0.7158770561218262,0.7554941177368164
LightGBM_DART,ExtraTrees,0.9742532968521118,0.9608498380235491,0.8088229894638062,0.827511727809906
LightGBM_DART,FlatMLP,0.9222744703292847,0.8988915444979835,0.7253409624099731,0.934533417224884
ExtraTrees,FlatMLP,0.9145235419273376,0.8969983523032574,0.6908996105194092,0.7810752987861633
