model_a,model_b,prediction_pearson_corr,prediction_spearman_corr,residual_pearson_corr,mean_abs_prediction_gap
LightGBM,XGBoost,0.9884235262870789,0.9834662548161907,0.9343913793563843,0.33478018641471863
LightGBM,RandomForest,0.9876683950424194,0.9811812982357231,0.9425238370895386,0.2987034320831299
LightGBM,LightGBM_DART,0.9871688485145569,0.9795026401299058,0.8520926833152771,0.7912338972091675
LightGBM,ExtraTrees,0.9732030034065247,0.9630036395430197,0.8825233578681946,0.41559499502182007
LightGBM,FlatMLP,0.9096613526344299,0.8797655738360574,0.7211991548538208,0.822714626789093
XGBoost,RandomForest,0.9813240170478821,0.9739781155603114,0.9173254370689392,0.3731392025947571
XGBoost,LightGBM_DART,0.9857543110847473,0.9794032468950356,0.9185914993286133,0.693291425704956
XGBoost,ExtraTrees,0.9651724100112915,0.95171978838796,0.8461964726448059,0.4998626112937927
XGBoost,FlatMLP,0.9162952899932861,0.8841267056352615,0.7703399062156677,0.7718182802200317
RandomForest,LightGBM_DART,0.9853798747062683,0.9743152146022983,0.8713208436965942,0.7614789605140686
RandomForest,ExtraTrees,0.9791958332061768,0.971193511680586,0.9112743139266968,0.33808019757270813
RandomForest,FlatMLP,0.8983685374259949,0.8653305999259083,0.6972885727882385,0.8561643958091736
LightGBM_DART,ExtraTrees,0.9665933847427368,0.9511829149142468,0.7910937666893005,0.8748540878295898
LightGBM_DART,FlatMLP,0.8997376561164856,0.8648293543406417,0.7249577641487122,1.0874571800231934
ExtraTrees,FlatMLP,0.8916779160499573,0.8576594756519375,0.6666685342788696,0.8909855484962463
