input_set,model,fold,train_rows,valid_rows,train_spearman,valid_spearman,valid_rmse
numeric_strong_context_smiles_no_lincs,LightGBM,1,2258,1129,0.9628600398699905,0.8712344944596953,1.1442972186215674
numeric_strong_context_smiles_no_lincs,LightGBM,2,2258,1129,0.9608447884544385,0.8886368077730883,1.1558467276244662
numeric_strong_context_smiles_no_lincs,LightGBM,3,2258,1129,0.9602588173675863,0.8937919785999575,1.1318315161579906
numeric_strong_context_smiles_no_lincs,LightGBM_DART,1,2258,1129,0.921097785918654,0.8563350173011404,1.4500900596829611
numeric_strong_context_smiles_no_lincs,LightGBM_DART,2,2258,1129,0.9172346047307999,0.8670487767775318,1.6504403904181713
numeric_strong_context_smiles_no_lincs,LightGBM_DART,3,2258,1129,0.9202638273046699,0.8827381577686256,1.498611481771531
numeric_strong_context_smiles_no_lincs,XGBoost,1,2258,1129,0.9303571064110633,0.8667300765727817,1.1704443856154088
numeric_strong_context_smiles_no_lincs,XGBoost,2,2258,1129,0.9232961159347993,0.8830740511358569,1.2294209263213702
numeric_strong_context_smiles_no_lincs,XGBoost,3,2258,1129,0.9250819063182278,0.8852354019512498,1.2113129912924678
numeric_strong_context_smiles_no_lincs,ExtraTrees,1,2258,1129,0.9922485316786864,0.8344277899027968,1.2755884103075117
numeric_strong_context_smiles_no_lincs,ExtraTrees,2,2258,1129,0.9908448753204727,0.8609991718622308,1.2982186175879673
numeric_strong_context_smiles_no_lincs,ExtraTrees,3,2258,1129,0.9917702163123981,0.8799741569496055,1.2110393656322969
numeric_strong_context_smiles_no_lincs,RandomForest,1,2258,1129,0.9747739971922058,0.8600708565007846,1.1924876772576776
numeric_strong_context_smiles_no_lincs,RandomForest,2,2258,1129,0.9740650155144339,0.880744811119061,1.2329361740548397
numeric_strong_context_smiles_no_lincs,RandomForest,3,2258,1129,0.9717386806196283,0.883897478156824,1.187290742091934
numeric_strong_context_smiles_no_lincs,FlatMLP,1,2258,1129,0.9604312275182723,0.7868782570912517,1.4867396792884608
numeric_strong_context_smiles_no_lincs,FlatMLP,2,2258,1129,0.9636330310138673,0.8106191248806321,1.548441659163465
numeric_strong_context_smiles_no_lincs,FlatMLP,3,2258,1129,0.9543745997750417,0.8105775497864088,1.6224027491111135
