input_set,model,fold,train_rows,valid_rows,train_spearman,valid_spearman,valid_rmse
numeric,LightGBM,1,2258,1129,0.9569825968585755,0.8577466995265333,1.144053852162234
numeric,LightGBM,2,2258,1129,0.9525474879569549,0.8820436726205592,1.1821343490699994
numeric,LightGBM,3,2258,1129,0.9508177997206089,0.8908683146838258,1.1495454517589025
numeric,LightGBM_DART,1,2258,1129,0.9102515064962228,0.8185039282546728,1.4534409655647982
numeric,LightGBM_DART,2,2258,1129,0.8993206770157809,0.8580812350773978,1.7106392487447561
numeric,LightGBM_DART,3,2258,1129,0.9061420432755437,0.8747619642468147,1.5200239985962951
numeric,XGBoost,1,2258,1129,0.9156420869678753,0.8387736600702399,1.2153632857912544
numeric,XGBoost,2,2258,1129,0.9083016931829563,0.8725570111538256,1.246012236184385
numeric,XGBoost,3,2258,1129,0.9080837671875008,0.8717024200029403,1.2575363551052365
numeric,ExtraTrees,1,2258,1129,0.9919661911674711,0.8319774145906279,1.2784731372056866
numeric,ExtraTrees,2,2258,1129,0.9920510822371885,0.8645855196433814,1.271568813068901
numeric,ExtraTrees,3,2258,1129,0.9926098717454507,0.8782123724878564,1.1854769277334734
numeric,RandomForest,1,2258,1129,0.974490904451249,0.8438775788785643,1.2129911279993706
numeric,RandomForest,2,2258,1129,0.9719217839795321,0.8729296170227714,1.2651990850441144
numeric,RandomForest,3,2258,1129,0.9712471756291627,0.88615422642547,1.1716349170159757
numeric,FlatMLP,1,2258,1129,0.9710957764770618,0.7964491789847596,1.452077780542569
numeric,FlatMLP,2,2258,1129,0.9676829055175408,0.8152665259856672,1.5072786293332703
numeric,FlatMLP,3,2258,1129,0.9643292423787688,0.8373270587300967,1.4864773674377894
