input_set,model,fold,train_rows,valid_rows,train_spearman,valid_spearman,valid_rmse
numeric_strong_context_smiles,LightGBM,1,2258,1129,0.9647434078969702,0.865501135788861,1.1216332930711383
numeric_strong_context_smiles,LightGBM,2,2258,1129,0.9614110082274199,0.888582518953599,1.1359383498709834
numeric_strong_context_smiles,LightGBM,3,2258,1129,0.9611141098140912,0.8942629651773123,1.1216455083566477
numeric_strong_context_smiles,LightGBM_DART,1,2258,1129,0.923531778884535,0.8424521474474482,1.4120130715141217
numeric_strong_context_smiles,LightGBM_DART,2,2258,1129,0.915798088147155,0.871295544058104,1.6417830355771037
numeric_strong_context_smiles,LightGBM_DART,3,2258,1129,0.9207681013740657,0.8844586304082354,1.4727904975957617
numeric_strong_context_smiles,XGBoost,1,2258,1129,0.9282343404691761,0.8569018774536131,1.1531562971153537
numeric_strong_context_smiles,XGBoost,2,2258,1129,0.9231860964755796,0.8848835345911913,1.2114408964576366
numeric_strong_context_smiles,XGBoost,3,2258,1129,0.9227459169744019,0.8863276904790162,1.182301354474755
numeric_strong_context_smiles,ExtraTrees,1,2258,1129,0.9925732110663839,0.8378712853742777,1.2593629236957493
numeric_strong_context_smiles,ExtraTrees,2,2258,1129,0.9926079540979855,0.8702672104306275,1.2493961100196924
numeric_strong_context_smiles,ExtraTrees,3,2258,1129,0.9928466987545338,0.88102188985343,1.1782781625332417
numeric_strong_context_smiles,RandomForest,1,2258,1129,0.9749460991441419,0.8537498189036912,1.1906754436049236
numeric_strong_context_smiles,RandomForest,2,2258,1129,0.9732109999552425,0.8870135188613424,1.197454064575662
numeric_strong_context_smiles,RandomForest,3,2258,1129,0.9722225533679398,0.8870584613392433,1.1591704313643219
numeric_strong_context_smiles,FlatMLP,1,2258,1129,0.9711760418906911,0.8059821203678934,1.4282140322188288
numeric_strong_context_smiles,FlatMLP,2,2258,1129,0.9563092812893885,0.8552897733565623,1.406192872174724
numeric_strong_context_smiles,FlatMLP,3,2258,1129,0.9373705576883777,0.8266310899312629,1.479294630916679
