model_a,model_b,prediction_pearson_corr,prediction_spearman_corr,residual_pearson_corr,mean_abs_prediction_gap
LightGBM,XGBoost,0.9887568950653076,0.983972363697957,0.938201904296875,0.3254769444465637
LightGBM,RandomForest,0.9887672662734985,0.9849349711754289,0.9470531344413757,0.28325897455215454
LightGBM,ExtraTrees,0.9785464406013489,0.9693738222473954,0.905644416809082,0.3659014105796814
LightGBM,LightGBM_DART,0.9863784909248352,0.9801702527443042,0.8515797257423401,0.7945981025695801
LightGBM,FlatMLP,0.920977771282196,0.8998780899710876,0.7208000421524048,0.7716616988182068
XGBoost,RandomForest,0.9825899004936218,0.9748147902008312,0.9234824180603027,0.3508723974227905
XGBoost,ExtraTrees,0.9705432057380676,0.9575979890766451,0.8704615235328674,0.4482656717300415
XGBoost,LightGBM_DART,0.9850338101387024,0.9776372351010567,0.9084663987159729,0.7219179272651672
XGBoost,FlatMLP,0.9258272051811218,0.9071398301506143,0.7534255981445312,0.7437765598297119
RandomForest,ExtraTrees,0.9876294136047363,0.9828843139064457,0.9469791054725647,0.26141542196273804
RandomForest,LightGBM_DART,0.9851841330528259,0.9788156097785461,0.8745874166488647,0.7553839087486267
RandomForest,FlatMLP,0.9120733737945557,0.8920983104360796,0.6999807953834534,0.8041677474975586
ExtraTrees,LightGBM_DART,0.9716280698776245,0.959889128879546,0.8134745359420776,0.8299916982650757
ExtraTrees,FlatMLP,0.9072978496551514,0.8871981208295544,0.6813929677009583,0.820591151714325
LightGBM_DART,FlatMLP,0.9127152562141418,0.8881437184594466,0.6967973709106445,1.0236705541610718
