input_set,model,fold,train_rows,valid_rows,train_spearman,valid_spearman,valid_rmse
numeric_pan_lincs,LightGBM,1,2258,1129,0.9564033796911373,0.8568927590553013,1.1725029818272674
numeric_pan_lincs,LightGBM,2,2258,1129,0.9520756147502715,0.8835442719678077,1.173991292369019
numeric_pan_lincs,LightGBM,3,2258,1129,0.952703818899495,0.8857297652513568,1.184061276243221
numeric_pan_lincs,LightGBM_DART,1,2258,1129,0.9097132204766784,0.8181561421013582,1.481126703471422
numeric_pan_lincs,LightGBM_DART,2,2258,1129,0.8980139536529935,0.8570934817498447,1.7035441240691114
numeric_pan_lincs,LightGBM_DART,3,2258,1129,0.9030981613961431,0.8638832797218842,1.5428597139936335
numeric_pan_lincs,XGBoost,1,2258,1129,0.9123652893969831,0.8391664843334451,1.233823262479128
numeric_pan_lincs,XGBoost,2,2258,1129,0.9067323009585971,0.8714412180317249,1.2640032966308272
numeric_pan_lincs,XGBoost,3,2258,1129,0.9092273181274582,0.8702137182268094,1.2631176051468382
numeric_pan_lincs,ExtraTrees,1,2258,1129,0.9911440957877645,0.8202257240114578,1.3702753481000853
numeric_pan_lincs,ExtraTrees,2,2258,1129,0.9916658444230425,0.8627344002696015,1.2862614320779768
numeric_pan_lincs,ExtraTrees,3,2258,1129,0.9920020361784021,0.8707699947313632,1.2293996961126838
numeric_pan_lincs,RandomForest,1,2258,1129,0.9729744659986661,0.844979227688257,1.243945613249752
numeric_pan_lincs,RandomForest,2,2258,1129,0.9708368631372969,0.8720596180476403,1.2815000266143197
numeric_pan_lincs,RandomForest,3,2258,1129,0.97058485213345,0.8792980946260154,1.2017087325900992
numeric_pan_lincs,FlatMLP,1,2258,1129,0.9599591880832392,0.7912769399158923,1.5015494339742879
numeric_pan_lincs,FlatMLP,2,2258,1129,0.967551500349762,0.8266896285196851,1.5335791572883324
numeric_pan_lincs,FlatMLP,3,2258,1129,0.9688417954565826,0.8257038928783902,1.5019032565810304
